Template ID,NodeType,Template Type,Template Name,CSV File
LTE_Basic_MANAGED,LTE,BASIC,,
LTE_AddNodeExample_MANAGED,LTE,NODE,AddNodeExample,
TNBulkCMExample_ver_1,LTE,TRANSPORT,TNBulkCMExample,TNBulkCMExample_ver_1
LTE_AI_ver_1,LTE,AUTOINTEGRATE,,LTE_AI_ver_1
LTE_Site_Basic_L12A_ver_1,LTE,SITE_BASIC,SiteBasicExample_L12A,LTE_Site_Basic_L12A_ver_1
LTE_Site_Install_L12A_ver_1,LTE,SITE_INSTALL,SiteInstallExample_L12A,LTE_Site_Install_L12A_ver_1
LTE_Site_Equpment_L13A_ver_1,LTE,SITE_EQUIPMENT,SiteEquipment_3SectorDualTx_L13A,LTE_Site_Equpment_L13A_ver_1
3Cell_FDD_RNBulkCMExample_L13_ver_1,LTE,RADIO,3Cell_FDD_RNBulkCMExample_L13,3Cell_RN_L13_ver_1
3Cell_TDD_RNBulkCMExample_L13_ver_1,LTE,RADIO,3Cell_TDD_RNBulkCMExample_L13,3Cell_RN_L13_ver_1
3Cell_FDD_RNBulkCMExample_L12B_ver_1,LTE,RADIO,3Cell_FDD_RNBulkCMExample_L12B,3Cell_RN_L12_ver_1
3Cell_TDD_RNBulkCMExample_L12B_ver_1,LTE,RADIO,3Cell_TDD_RNBulkCMExample_L12B,3Cell_RN_L12_ver_1
3Cell_FDD_RNBulkCMExample_L12A_ver_1,LTE,RADIO,3Cell_FDD_RNBulkCMExample_L12A,3Cell_RN_L12_ver_1
3Cell_TDD_RNBulkCMExample_L12A_ver_1,LTE,RADIO,3Cell_TDD_RNBulkCMExample_L12A,3Cell_RN_L12_ver_1
1Cell_FDD_RNBulkCMExample_L13_ver_1,LTE,RADIO,1Cell_FDD_RNBulkCMExample_L13,1Cell_RN_L13_ver_1
1Cell_TDD_RNBulkCMExample_L13_ver_1,LTE,RADIO,1Cell_TDD_RNBulkCMExample_L13,1Cell_RN_L13_ver_1
1Cell_FDD_RNBulkCMExample_L12B_ver_1,LTE,RADIO,1Cell_FDD_RNBulkCMExample_L12B,1Cell_RN_L12_ver_1
1Cell_TDD_RNBulkCMExample_L12B_ver_1,LTE,RADIO,1Cell_TDD_RNBulkCMExample_L12B,1Cell_RN_L12_ver_1
1Cell_FDD_RNBulkCMExample_L12A_ver_1,LTE,RADIO,1Cell_FDD_RNBulkCMExample_L12A,1Cell_RN_L12_ver_1
1Cell_TDD_RNBulkCMExample_L12A_ver_1,LTE,RADIO,1Cell_TDD_RNBulkCMExample_L12A,1Cell_RN_L12_ver_1
